date,tweet,sentiment,saham
"2019-01-30","PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) berhasil mencatatkan laba bersih sepanjang 2018 sebesar Rp 32,4 triliun. Laba bersih perseroan ini meningkat 11,6% dibandingkan pada 2017. https:// cnbcindonesia.com/market/2019013 0160202-17-53090/laba-bank-bri-tembus-rp-324t-di-2018-naik-116?utm_source=twitter&utm_medium=oa&utm_campaign=cnbcsocmed …","","bbri"
"2019-01-30","Selanjutnya BBRI akan menguat untuk membentuk wave (iii) dari wave [v] dari wave 5 (2/2) (Disclaimer On) (30/01/2019) #MNCSRiset #RekomendasiSaham #BeritaEmiten","","bbri"
"2019-01-30","PT Bank Rakyat Indonesia (Persero) Tbk (BBRI). Terkoreksinya BBRI merupakan akhir dari wave c dari wave (ii) dari wave [v] dari wave 5 berada pada level 3,600-3,650. (1/2) (Disclaimer On) (30/01/2019) #MNCSRiset #RekomendasiSaham #BeritaEmiten","","bbri"
"2019-01-30","Top foreign net buy: BBRI, BBCA, TLKM, ASII, HMSP. Top foreign net sell: BMRI, TOWR, UNTR, KAEF, WSKT. #DailyReport","","bbri"
"2019-01-31","PT Bank Rakyat Indonesia (Persero) Tbk #BBRI mencatat simpanan Dana Pihak Ketiga (DPK) di akhir Des 2018 sbsr Rp944,3 t atau tumbuh 12,2% year on year (you). Untuk aset BRI pun terkerek di angka Rp1.296,9 t atau tumbuh 15,2% dibandingkan posisi Desember 2017 sebesar Rp1.126,2 T","","bbri"
"2019-01-31","PT Bank Rakyat Indonesia (Persero) Tbk #BBRI kembali menorehkan kinerja positif hingga akhir 2018. Bank plat merah ini mampu mendulang laba sebesar Rp32,4 Triliun sepanjang 2018. Angka ini naik 11,6% dibandingkan laba 2017 sebesar Rp29 Triliun.","","bbri"
"2019-01-31","Saatnya bedah laporan keuangan BBRI ah","","bbri"
"2019-01-31","gain intraday 31/1 : giaa 12.7%, ptpp 4.9%, issp 3.3%, mlpl 3.3%, ppro 3.2%, wika 3%, bmri 1.7%, mdka 1.2%, bbri 1%, excl 1%, hrum 1%","","bbri"
"2019-01-31","Leading Movers: BBCA, BBRI, BMRI, UNVR, ASII. Lagging Movers: CPIN, KAEF, JPFA, INKP, TKIM. #MarketReview","","bbri"
"2019-01-31","ini mah kayaknya BBCA BBRI","","bbri"
"2019-01-31","#InfoNews Direktur Utama BRI Suprajarto menyatakan target laba bank dengan sandi saham BBRI ini tumbuh 10%-12% tahun ini. https:// bit.ly/2Sf8pD2","","bbri"
"2019-01-31","PT Bank Rakyat Indonesia (BRI) Tbk (BBRI) booked a net profit of Rp32.42 trillion in 2018, grew 11.6% from Rp29.04 trillion in 2017 http:// yosefardi.com/2019/01/31/201 8-results-bri-ocbc/ …","","bbri"
"2019-01-31","BBCA & BBRI Penopang Utama IHSG Sesi I, CSIS Menguat Paling Tajam http:// bit.ly/2ShqfVP","","bbri"
"2019-01-31","Faktanya GIAA mulai IPO thn 2011, BBRI 2003, BBNI 1996, BMRI 2003. Jadi sudah “tergadai” dari kapan? Yg bikin infografik masih idup ga orangnya?","","bbri"
"2019-01-31","Laba BANK BRI. Merupakan salah satu Bank BUMN Kode Emiten nya BBRI.","","bbri"
"2019-01-31","Bank Rakyat Indonesia (BBRI IJ, BUY, TP: IDR4,750)In-Line 4Q18; Lower NIM Offset By Fee & CoC - https:// mailchi.mp/rhbgroup/bi-ra te-remain-unchanged-164437 …","","bbri"
"2019-01-31","Mengawali perdagangan Kamis (31/1), IHSG dibuka naik ke posisi 6.497,719. https:// kumparan.com/@kumparanbisni s/ihsg-hijau-saham-unggulan-pilihan-adhi-adro-asii-bbri-ggrm-wskt-1548900086078471236?utm_source=Twitter&utm_campaign=int&utm_medium=post …","","bbri"
"2019-01-31","PT Bank Rakyat Indonesia (Persero) Tbk (BBRI) membukukan laba bersih Rp 32,4 triliun di 2018. Laba ini naik 11,6% dibandingkan 2017.","","bbri"
"2019-01-31","BBRI mencatat laba bersih Rp 32,4 triliun di tahun 2018, naik 11,6% YoY dibandingkan periode yang sama tahun lalu Rp 29 triliun.: Kontan","","bbri"
